id,titre,description,ville,domaine,contrat,niveau_etude
1,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,CDI,Bac+2
2,CDI Consultant BI,"CDI Consultant BI basé à Tanger, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Tanger,Informatique - BI,CDI,Bac+5
3,CDI Responsable SEO,"CDI Responsable SEO basé à Rabat, domaine Management - Marketing. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Management - Marketing,CDI,Bac+5
4,CDD Assistant Comptable,"CDD Assistant Comptable basé à Marrakech, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Marrakech,Management - Comptabilité,CDD,Bac+2
5,CDD Assistant Comptable,"CDD Assistant Comptable basé à Oujda, domaine Management - Comptabilité. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Oujda,Management - Comptabilité,CDD,Bac+3
6,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Rabat, domaine Informatique - Dev Web. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Rabat,Informatique - Dev Web,CDI,Bac+5
7,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Fès, domaine Management - RH. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Management - RH,CDI,Bac+5
8,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Casablanca, domaine Management - RH. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Management - RH,CDI,Bac+2
9,CDI Chargé Recrutement,"CDI Chargé Recrutement basé à Marrakech, domaine Management - RH. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Marrakech,Management - RH,CDI,Bac+2
10,Stage Comptabilité,"Stage Comptabilité basé à Fès, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Management - Comptabilité,Stage,Bac+2
11,Stage RH,"Stage RH basé à Fès, domaine Management - RH. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Management - RH,Stage,Bac+3
12,CDD Community Manager,"CDD Community Manager basé à Rabat, domaine Management - Marketing. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Rabat,Management - Marketing,CDD,Bac+5
13,CDD Analyste Données,"CDD Analyste Données basé à Fès, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Fès,Informatique - BI,CDD,Bac+5
14,Stage RH,"Stage RH basé à Oujda, domaine Management - RH. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Oujda,Management - RH,Stage,Bac+5
15,Stage Comptabilité,"Stage Comptabilité basé à Rabat, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Rabat,Management - Comptabilité,Stage,Bac+2
16,CDI Responsable SEO,"CDI Responsable SEO basé à Casablanca, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Management - Marketing,CDI,Bac+3
17,Stage Marketing Digital,"Stage Marketing Digital basé à Fès, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Management - Marketing,Stage,Bac+3
18,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Tanger, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Dev Web,CDI,Bac+2
19,Stage Deep Learning,"Stage Deep Learning basé à Marrakech, domaine Informatique - IA. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Informatique - IA,Stage,Bac+5
20,CDD Assistant Comptable,"CDD Assistant Comptable basé à Agadir, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Agadir,Management - Comptabilité,CDD,Bac+2
21,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Fès, domaine Management - Comptabilité. Niveau requis: Bac+3. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Management - Comptabilité,CDI,Bac+3
22,CDI Analyste Sécurité,"CDI Analyste Sécurité basé à Casablanca, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - Cybersecurite,CDI,Bac+5
23,CDD Community Manager,"CDD Community Manager basé à Fès, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: CDD. Missions variées dans une entreprise dynamique.",Fès,Management - Marketing,CDD,Bac+3
24,CDI Développeur Fullstack,"CDI Développeur Fullstack basé à Casablanca, domaine Informatique - Dev Web. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Informatique - Dev Web,CDI,Bac+5
25,Stage BI,"Stage BI basé à Fès, domaine Informatique - BI. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Informatique - BI,Stage,Bac+5
26,CDD Sécurité Réseau,"CDD Sécurité Réseau basé à Tanger, domaine Informatique - Cybersecurite. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Cybersecurite,CDD,Bac+2
27,Stage Marketing Digital,"Stage Marketing Digital basé à Tanger, domaine Management - Marketing. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Tanger,Management - Marketing,Stage,Bac+3
28,Stage Comptabilité,"Stage Comptabilité basé à Marrakech, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Marrakech,Management - Comptabilité,Stage,Bac+2
29,Stage Dev Web,"Stage Dev Web basé à Rabat, domaine Informatique - Dev Web. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Rabat,Informatique - Dev Web,Stage,Bac+2
30,CDI Analyste Sécurité,"CDI Analyste Sécurité basé à Fès, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Fès,Informatique - Cybersecurite,CDI,Bac+5
31,CDI Ingénieur IA,"CDI Ingénieur IA basé à Oujda, domaine Informatique - IA. Niveau requis: Bac+2. Contrat: CDI. Missions variées dans une entreprise dynamique.",Oujda,Informatique - IA,CDI,Bac+2
32,Stage Comptabilité,"Stage Comptabilité basé à Rabat, domaine Management - Comptabilité. Niveau requis: Bac+2. Contrat: Stage. Missions variées dans une entreprise dynamique.",Rabat,Management - Comptabilité,Stage,Bac+2
33,Stage IA,"Stage IA basé à Fès, domaine Informatique - IA. Niveau requis: Bac+3. Contrat: Stage. Missions variées dans une entreprise dynamique.",Fès,Informatique - IA,Stage,Bac+3
34,Stage Dev Web,"Stage Dev Web basé à Tanger, domaine Informatique - Dev Web. Niveau requis: Bac+5. Contrat: Stage. Missions variées dans une entreprise dynamique.",Tanger,Informatique - Dev Web,Stage,Bac+5
35,CDI Comptable Confirmé,"CDI Comptable Confirmé basé à Casablanca, domaine Management - Comptabilité. Niveau requis: Bac+5. Contrat: CDI. Missions variées dans une entreprise dynamique.",Casablanca,Management - Comptabilité,CDI,Bac+5
36,CDD Sécurité Réseau,"CDD Sécurité Réseau basé à Rabat, domaine Informatique - Cybersecurite. Niveau requis: Bac+5. Contrat: CDD. Missions variées dans une entreprise dynamique.",Rabat,Informatique - Cybersecurite,CDD,Bac+5
37,CDD Analyste Données,"CDD Analyste Données basé à Agadir, domaine Informatique - BI. Niveau requis: Bac+2. Contrat: CDD. Missions variées dans une entreprise dynamique.",Agadir,Informatique - BI,CDD,Bac+2
